Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
80 m²,,11 tỷ,,,,,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
90 m²,,"9,5 tỷ",,,,,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Thống Nhất, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
297 m²,"6,5 m","44,5 tỷ",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,20 m,16/11/2023,01/12/2023,Tin thường,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
56 m²,4 m,"8,2 tỷ",5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,12 m,14/11/2023,14/12/2023,Tin thường,"Đường Phan Đình Phùng, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
"13,2 m²",,"2,6 tỷ",1 tầng,2 phòng,2 phòng,Đã có sổ Hồng,Đầy đủ nội thất,,,,10/11/2023,10/12/2023,Tin thường,"44, Đường Nguyễn Sáng, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
197 m²,8 m,"42,5 tỷ",4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,17/11/2023,27/11/2023,Tin thường,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
87 m²,4 m,"12,9 tỷ",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,Đông - Bắc,20 m,17/11/2023,27/11/2023,Tin thường,"Đường Diệp Minh Châu, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
73 m²,"4,2 m","18,5 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam,20 m,17/11/2023,27/11/2023,Tin thường,"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh"
"136,4 m²","6,6 m",23 tỷ,3 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Nam,20 m,17/11/2023,27/11/2023,Tin thường,"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
70 m²,4 m,"11,5 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,17/11/2023,27/11/2023,Tin thường,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
160 m²,5 m,"20,5 tỷ",3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,30 m,16/11/2023,26/11/2023,Tin thường,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
70 m²,4 m,"9,5 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,14/11/2023,24/11/2023,Tin thường,"Đường Nguyễn Văn Săng, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
44 m²,,"6,8 tỷ",,,,Sổ hồng,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Độc Lập, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
15.000 m²,,22 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,Tin thường,37176433,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
168 m²,,"20,5 tỷ",,3 phòng,,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,,14 m,16/11/2023,26/11/2023,Tin thường,"Đường Chu Thiên, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
