Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"52,48 m²",,Thỏa thuận,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,,02/11/2023,12/11/2023,Tin thường,"Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
44 m²,,Thỏa thuận,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,5 m,02/11/2023,12/11/2023,Tin thường,"Đường Chiến Lược, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh"
48 m²,4 m,"3,4 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Tây - Nam,4 m,02/11/2023,17/11/2023,Tin thường,"Đường Số 4, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"83,6 m²",4 m,"4,25 tỷ",,,,Sổ đỏ/ Sổ hồng,Nhà nát,Đông,,8 m,26/10/2023,25/11/2023,Tin thường,"Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
60 m²,5 m,"6,5 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,,,01/11/2023,11/11/2023,Tin thường,"Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
"63,8 m²",,"6,5 tỷ",2 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,8 m,23/10/2023,22/11/2023,Tin thường,"228/17, Đường Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
280 m²,,"13,2 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,,01/11/2023,11/11/2023,Tin thường,"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"65,2 m²",,"4,8 tỷ",,,,Sổ đỏ/ Sổ hồng.,,,,8 m,03/11/2023,13/11/2023,Tin thường,"Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
48 m²,4 m,"3,4 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Tây - Nam,4 m,02/11/2023,17/11/2023,Tin thường,"Đường Số 4, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"60,9 m²",4 m,"5,5 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Nam,,,30/10/2023,09/11/2023,Tin thường,"Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"72,6 m²",,"5,45 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,,,,6 m,31/10/2023,10/11/2023,Tin VIP Bạc,"Hẻm 181 Đường Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
"58,5 m²",4 m,"4,1 tỷ",2 tầng,3 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,Bắc,6 m,30/10/2023,14/11/2023,Tin VIP Vàng,"790/58/12 Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
36 m²,,"2,68 tỷ",3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,8 m,02/11/2023,02/12/2023,Tin thường,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
