Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
55 m²,"5,45 m","4,95 tỷ",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,4 m,10/11/2023,20/11/2023,Tin thường,"Đường 606, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
217 m²,10 m,"4,8 tỷ",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,"4,5 m",13/11/2023,23/11/2023,Tin thường,"Đường 11, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
90 m²,12 m,"3,6 tỷ",2 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,4 m,08/11/2023,18/11/2023,Tin thường,"Đường Tỉnh lộ 43, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
153 m²,,"5,2 tỷ",,,,,,,,,13/11/2023,23/11/2023,Tin thường,"Hẻm 40, Đường 7, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
59 m²,,"5,4 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,22/11/2023,Tin thường,"Đường 9, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
78 m²,"4,6 m","4,8 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,4 m,07/11/2023,17/11/2023,Tin thường,"Đường Số 19, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh"
135 m²,7 m,"10,99 tỷ",,1 phòng,1 phòng,"Sổ hồng thổ cư, sang tên ngay",Có,Tây,Tây,7 m,06/11/2023,16/11/2023,Tin thường,"Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
160 m²,,"14,49 tỷ",,,,,,,,,08/11/2023,18/11/2023,Tin thường,"Đường 23, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
"68,6 m²",,"7,7 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Nam,,13/11/2023,23/11/2023,Tin thường,"Đường Kha Vạn Cân, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
118 m²,7 m,"6,7 tỷ",,2 phòng,1 phòng,"Sổ hoàn công, sang tên ngay",Ko,Tây,Tây,4 m,06/11/2023,16/11/2023,Tin thường,"Đường Đặng Văn Bi, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
