Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"72,2 m²",,"7,7 tỷ",2 tầng,5 phòng,5 phòng,,,,,,12/11/2023,22/11/2023,Tin thường,"Hẻm 130, Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
132 m²,,11 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,22/11/2023,Tin thường,"Đường Tâm Tâm Xã, Phường Linh Tây, Thủ Đức, Hồ Chí Minh"
215 m²,,17 tỷ,,5 phòng,5 phòng,,,,,,12/11/2023,22/11/2023,Tin thường,"Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
153 m²,,"5,2 tỷ",,,,,,,,,13/11/2023,23/11/2023,Tin thường,"Hẻm 40, Đường 7, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
59 m²,,"5,4 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,22/11/2023,Tin thường,"Đường 9, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
78 m²,"4,6 m","4,8 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,4 m,07/11/2023,17/11/2023,Tin thường,"Đường Số 19, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh"
135 m²,7 m,"10,99 tỷ",,1 phòng,1 phòng,"Sổ hồng thổ cư, sang tên ngay",Có,Tây,Tây,7 m,06/11/2023,16/11/2023,Tin thường,"Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
160 m²,,"14,49 tỷ",,,,,,,,,08/11/2023,18/11/2023,Tin thường,"Đường 23, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
"68,6 m²",,"7,7 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Nam,,13/11/2023,23/11/2023,Tin thường,"Đường Kha Vạn Cân, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
118 m²,7 m,"6,7 tỷ",,2 phòng,1 phòng,"Sổ hoàn công, sang tên ngay",Ko,Tây,Tây,4 m,06/11/2023,16/11/2023,Tin thường,"Đường Đặng Văn Bi, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
"62,5 m²",4 m,"6,3 tỷ",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,4 m,13/11/2023,23/11/2023,Tin thường,"Đường 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
170 m²,6 m,"9,5 tỷ",2 tầng,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,6 m,13/11/2023,23/11/2023,Tin thường,"Phường Linh Đông, Thủ Đức, Hồ Chí Minh"
60 m²,6 m,"7,9 tỷ",3 tầng,4 phòng,5 phòng,Sổ hồng riêng,"Nội thất đầy đủ : Rèm Cửa , Đèn Chùm , Máy Năng Lượng Mặt Trời vv..vvv",,,,06/11/2023,16/11/2023,Tin thường,"Đường Số 8, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
"84,7 m²","8,3 m","3,6 tỷ",1 tầng,1 phòng,1 phòng,Sổ hồng.,Không nội thất.,Đông - Nam,Đông - Nam,4 m,01/11/2023,01/12/2023,Tin thường,"Hẻm 891, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
80 m²,,"9,3 tỷ",4 tầng,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,07/11/2023,17/11/2023,Tin thường,"Đường Linh Trung, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
171 m²,,7 tỷ,,3 phòng,2 phòng,,,,,3 m,12/11/2023,22/11/2023,Tin thường,"Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh"
