Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
82 m²,"3,4 tỷ",2 phòng,2 phòng,Đang chờ sổ,Cơ bản,Đông - Bắc,Đông - Bắc,01/11/2023,16/11/2023,Tin VIP Kim Cương,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
82 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Nam,Đông,30/10/2023,06/11/2023,Tin VIP Kim Cương,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
85 m²,"3,29 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,24/10/2023,08/11/2023,Tin VIP Kim Cương,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh."
59 m²,"2,05 tỷ",2 phòng,2 phòng,,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
72 m²,"2,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây,,03/11/2023,18/11/2023,Tin VIP Vàng,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
51 m²,20 triệu/m²,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,29/10/2023,05/11/2023,Tin VIP Bạc,"Dự án Ehome Southgate, Đường ĐT 830, Xã An Thạnh, Bến Lức, Long An"
72 m²,"2,75 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Bắc,03/11/2023,13/11/2023,Tin VIP Bạc,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
56 m²,"2,17 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,Tây,Đông,03/11/2023,13/11/2023,Tin VIP Bạc,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
78 m²,"3,2 tỷ",2 phòng,2 phòng,,,Bắc,,26/10/2023,05/11/2023,Tin VIP Bạc,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
46 m²,"1,35 tỷ",1 phòng,1 phòng,,,,,02/11/2023,12/11/2023,Tin VIP Bạc,"Dự án EhomeS Nam Sài Gòn, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
60 m²,"2,8 tỷ",,,,,,,27/10/2023,03/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
82 m²,"3,4 tỷ",2 phòng,2 phòng,Đang chờ sổ,Cơ bản,Đông - Bắc,Đông - Bắc,01/11/2023,16/11/2023,Tin VIP Bạc,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
65 m²,2 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,01/11/2023,08/11/2023,Tin VIP Bạc,"Dự án Lovera Vista, Đường Số 19, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
72 m²,"2,75 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây,Tây,01/11/2023,08/11/2023,Tin VIP Bạc,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
"62,56 m²","1,15 tỷ",2 phòng,2 phòng,Đang chờ sổ,Cơ bản,,,31/10/2023,07/11/2023,Tin VIP Bạc,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh"
55 m²,"1,29 tỷ",1 phòng,1 phòng,,,,,30/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Conic Đình Khiêm, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
53 m²,"1,8 tỷ",1 phòng,1 phòng,,,Bắc,Nam,30/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
59 m²,"1,95 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản.,,Đông,29/10/2023,05/11/2023,Tin VIP Bạc,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
52 m²,"1,7 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam,28/10/2023,04/11/2023,Tin VIP Bạc,"Dự án Lovera Vista, Đường Số 19, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
83 m²,"4,4 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,27/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
85 m²,"3,5 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,27/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
60 m²,"2,3 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,27/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
57 m²,"1,55 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,10/10/2023,09/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
