Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
65 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,21/10/2023,31/10/2023,Tin thường,"Dự án Angia Star, Đường Quốc lộ 1A, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
75 m²,"3,1 tỷ",2 phòng,2 phòng,Pháp lý hoàn chỉnh.,Nội thất hoàn thiện.,Nam,Bắc,20/10/2023,30/10/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
63 m²,"1,9 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,18/10/2023,28/10/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"181,3 m²","3,7 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,23/10/2023,02/11/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"48,4 m²","1,45 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,,,17/10/2023,27/10/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"52,7 m²","1,6 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,,,,21/10/2023,31/10/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
68 m²,"1,78 tỷ",2 phòng,2 phòng,,,,,21/10/2023,31/10/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
49 m²,"1,5 tỷ",2 phòng,1 phòng,,,,,17/10/2023,27/10/2023,Tin thường,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
68 m²,48 triệu/m²,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,20/10/2023,30/10/2023,Tin thường,"The Privia, Số 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
49 m²,"1,48 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Nội thất cơ bản chủ đầu tư.,Đông - Nam,Tây - Bắc,06/10/2023,05/11/2023,Tin thường,"Green Town Bình Tân, Số 99, Đường Số 1, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
52 m²,"2,5 tỷ",2 phòng,1 phòng,Hợp đồng mua bán.,Đầy đủ.,,,17/10/2023,27/10/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
66 m²,"3,5 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,20/10/2023,30/10/2023,Tin thường,"The Privia, Số 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
66 m²,"4,49 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,17/10/2023,27/10/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
50 m²,Thỏa thuận,1 phòng,1 phòng,,Cơ bản,,,23/10/2023,02/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
70 m²,"1,8 tỷ",2 phòng,2 phòng,,Full nội thất,,,24/10/2023,03/11/2023,Tin thường,"Dự án Saigonhomes, Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
70 m²,"1,85 tỷ",2 phòng,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Saigonhomes, Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
46 m²,"1,48 tỷ",1 phòng,1 phòng,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Saigonhomes, Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
52 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ sổ hồng.,Đầy đủ.,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
68 m²,"3,25 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
37 m²,50 triệu/m²,,,Hợp đồng mua bán,,,,24/10/2023,03/11/2023,Tin thường,"The Privia, Số 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
60 m²,3 tỷ,2 phòng,,Hợp đồng mua bán,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
50 m²,Thỏa thuận,,,,,,,08/10/2023,07/11/2023,Tin thường,"The Privia, 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
60 m²,3 tỷ,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,16/10/2023,26/10/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
60 m²,"3,1 tỷ",2 phòng,1 phòng,,Cao cấp,,,16/10/2023,26/10/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
50 m²,"2,6 tỷ",,,,,,,18/10/2023,28/10/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
